"Name","Kunde","Projekt","Wochentag","Datum","Arbeitszeittyp","Arbeitsbeginn","Arbeitsende","Arbeitsdauer","Pausenbeginn","Pausenende","Pausenzeit","Interne Notizen","Externe Notizen","Status"
"Emma ProjectLead","ClearPathClent","BrightWave","Mittwoch","17.04.2024","Normalarbeitszeit","04:00:00","17:00:00","13:00:00","0","0","00:00:00","","","Ausstehend"
"Emma ProjectLead","ClearPathClent","BrightWave","Mittwoch","17.04.2024","","0","0","00:00:00","04:00:00","11:00:00","07:00:00","","","Ausstehend"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","18.04.2024","Normalarbeitszeit","14:00:47","14:03:54","00:03:07","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","24.04.2024","Normalarbeitszeit","0","0","00:00:00","12:04:18","12:04:30","00:00:12","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","24.04.2024","Normalarbeitszeit","14:06:28","14:06:56","00:00:28","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","24.04.2024","Normalarbeitszeit","14:24:01","14:30:29","00:06:28","0","0","00:00:00","test","test","Genehmigt"
"Sara Manager","ClearPathClent","BrightWave","Mittwoch","24.04.2024","Normalarbeitszeit","12:12:05","12:33:25","00:21:20","0","0","00:00:00","","","Ausstehend"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","09:51:44","09:52:22","00:00:38","0","0","00:00:00","","","Genehmigt"
"Emma ProjectLead","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","09:58:58","10:00:13","00:01:15","0","0","00:00:00","","","Ausstehend"
"Emma ProjectLead","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","10:14:01","10:14:06","00:00:05","0","0","00:00:00","","","Ausstehend"
"Emma ProjectLead","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","10:14:54","10:15:02","00:00:08","0","0","00:00:00","","","Ausstehend"
"Sara Manager","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","10:06:07","10:06:21","00:00:14","0","0","00:00:00","","","Ausstehend"
"Sara Manager","ClearPathClent","BrightWave","Donnerstag","25.04.2024","Normalarbeitszeit","10:12:55","10:13:05","00:00:10","0","0","00:00:00","","","Ausstehend"
"Emma ProjectLead","HappyHands","LightGlow","Donnerstag","25.04.2024","Normalarbeitszeit","10:14:35","10:14:42","00:00:07","0","0","00:00:00","","","Ausstehend"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","02.05.2024","Sonntag, Feiertag","10:37:52","10:37:54","00:00:02","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","02.05.2024","Normalarbeitszeit","10:38:02","10:38:05","00:00:03","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","02.05.2024","Normalarbeitszeit","10:38:21","10:38:24","00:00:03","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","02.05.2024","Normalarbeitszeit","10:38:40","10:38:42","00:00:02","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","02.05.2024","Normalarbeitszeit","10:39:18","10:39:20","00:00:02","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","0","0","00:00:00","10:50:23","10:50:30","00:00:07","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","11:20:00","11:25:00","00:05:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","14:09:34","14:09:36","00:00:02","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","0","0","00:00:00","14:19:05","14:19:08","00:00:03","","","Genehmigt"
"Emma ProjectLead","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","09:00:00","18:00:00","09:00:00","0","0","00:00:00","","","Genehmigt"
"Emma ProjectLead","ClearPathClent","BrightWave","Montag","06.05.2024","","0","0","00:00:00","11:00:00","12:00:00","01:00:00","","","Genehmigt"
"Sara Manager","ClearPathClent","BrightWave","Montag","06.05.2024","Normalarbeitszeit","11:58:41","12:02:49","00:04:08","0","0","00:00:00","","","Ausstehend"
"test Lea","ClearPathClent","haha","Montag","06.05.2024","Normalarbeitszeit","14:10:13","14:10:15","00:00:02","0","0","00:00:00","","","Ausstehend"
"test Lea","ClearPathClent","haha","Montag","06.05.2024","Normalarbeitszeit","14:10:21","14:10:25","00:00:04","0","0","00:00:00","","","Ausstehend"
"Nabanna Nabanna","ClearPathClent","BrightWave","Dienstag","07.05.2024","Normalarbeitszeit","05:00:00","06:00:00","01:00:00","0","0","00:00:00","","","Genehmigt"
"Anna SubAdmin","ClearPathClent","BrightWave","Mittwoch","08.05.2024","Normalarbeitszeit","09:00:00","12:00:00","03:00:00","0","0","00:00:00","","","Genehmigt"
"Anna SubAdmin","ClearPathClent","BrightWave","Mittwoch","08.05.2024","Normalarbeitszeit","13:00:00","15:00:00","02:00:00","0","0","00:00:00","","","Genehmigt"
"Anna SubAdmin","ClearPathClent","BrightWave","Mittwoch","08.05.2024","","0","0","00:00:00","16:00:00","18:00:00","02:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","08.05.2024","","0","0","00:00:00","09:00:00","18:00:00","09:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","09.05.2024","Normalarbeitszeit","09:00:00","10:00:00","01:00:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","09.05.2024","Normalarbeitszeit","11:00:00","12:00:00","01:00:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Donnerstag","09.05.2024","Normalarbeitszeit","0","0","00:00:00","13:00:00","14:00:00","01:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","15.05.2024","Normalarbeitszeit","09:00:00","10:00:00","01:00:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Mittwoch","15.05.2024","Normalarbeitszeit","10:01:00","11:00:00","00:59:00","0","0","00:00:00","","","Genehmigt"
"Sara Manager","ClearPathClent","BrightWave","Mittwoch","15.05.2024","Normalarbeitszeit","09:00:00","10:00:00","01:00:00","0","0","00:00:00","","","Ausstehend"
"Sara Manager","ClearPathClent","BrightWave","Mittwoch","15.05.2024","Normalarbeitszeit","10:01:00","18:00:00","07:59:00","0","0","00:00:00","","","Ausstehend"
"Rose Member","ClearPathClent","BrightWave","Mittwoch","15.05.2024","Normalarbeitszeit","09:00:00","18:00:00","09:00:00","0","0","00:00:00","","","Ausstehend"
"Rose Member","ClearPathClent","BrightWave","Mittwoch","15.05.2024","","0","0","00:00:00","09:00:00","18:00:00","09:00:00","","","Ausstehend"
"Nabanna Nabanna","ClearPathClent","BrightWave","Sonntag","19.05.2024","Normalarbeitszeit","09:00:00","18:00:00","09:00:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Sonntag","09.06.2024","Normalarbeitszeit","09:00:00","18:00:00","09:00:00","0","0","00:00:00","","","Genehmigt"
"Nabanna Nabanna","ClearPathClent","BrightWave","Montag","10.06.2024","Normalarbeitszeit","09:00:00","18:00:00","09:00:00","0","0","00:00:00","Internal Notes","Max 1000 characters. External Notes","Genehmigt"
